Timestamp,Fecha,Class,AF3/theta,AF3/alpha,AF3/betaL,AF3/betaH,AF3/gamma,F7/theta,F7/alpha,F7/betaL,F7/betaH,F7/gamma,F3/theta,F3/alpha,F3/betaL,F3/betaH,F3/gamma,FC5/theta,FC5/alpha,FC5/betaL,FC5/betaH,FC5/gamma,T7/theta,T7/alpha,T7/betaL,T7/betaH,T7/gamma,P7/theta,P7/alpha,P7/betaL,P7/betaH,P7/gamma,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,P8/theta,P8/alpha,P8/betaL,P8/betaH,P8/gamma,T8/theta,T8/alpha,T8/betaL,T8/betaH,T8/gamma,FC6/theta,FC6/alpha,FC6/betaL,FC6/betaH,FC6/gamma,F4/theta,F4/alpha,F4/betaL,F4/betaH,F4/gamma,F8/theta,F8/alpha,F8/betaL,F8/betaH,F8/gamma,AF4/theta,AF4/alpha,AF4/betaL,AF4/betaH,AF4/gamma
1761327504,2025-10-24,neutral,13.043,7.14,1.972,1.274,0.542,13.167,7.828,1.963,1.445,0.558,12.657,5.847,2.097,1.211,0.428,24.17,11.381,2.941,2.005,0.614,18.292,7.357,2.181,1.724,0.739,4.952,1.972,0.623,0.472,0.161,18.189,5.562,2.003,1.152,0.628,20.052,8.206,3.238,1.694,0.523,8.132,4.492,1.507,0.656,0.348,15.399,6.547,2.804,1.661,0.524,4.235,2.343,1.115,0.613,0.183,27.016,12.162,4.234,2.338,0.727,27.362,11.4,4.285,2.159,0.716,26.156,12.634,3.974,2.459,0.799
1761327504,2025-10-24,neutral,9.054,6.757,1.46,1.092,0.498,9.456,7.035,1.478,1.301,0.507,8.532,5.883,1.646,1.044,0.379,16.993,10.572,2.091,1.767,0.529,15.159,7.1,1.574,1.443,0.682,3.963,1.936,0.466,0.41,0.143,13.449,5.09,1.404,1.023,0.564,13.412,7.751,2.506,1.574,0.444,6.183,4.256,1.173,0.61,0.305,12.304,6.582,1.973,1.475,0.416,3.035,2.324,0.91,0.54,0.142,19.015,12.054,3.369,2.161,0.606,20.375,11.274,3.262,1.88,0.587,18.39,12.174,2.975,2.077,0.691
1761327505,2025-10-24,neutral,7.791,6.574,1.247,0.98,0.487,8.147,6.45,1.306,1.207,0.487,7.035,6.115,1.455,0.939,0.36,14.089,10.077,1.746,1.641,0.499,16.062,7.113,1.305,1.314,0.64,4.142,1.959,0.384,0.374,0.14,11.978,5.02,1.123,0.99,0.535,9.739,7.435,2.122,1.525,0.405,5.429,4.022,1.08,0.6,0.279,11.545,6.578,1.634,1.412,0.344,2.546,2.334,0.832,0.509,0.12,15.949,12.231,3.022,2.089,0.543,18.109,11.258,2.847,1.785,0.504,15.778,12.154,2.621,1.883,0.643
1761327505,2025-10-24,neutral,9.147,6.676,1.253,0.906,0.489,8.98,6.147,1.361,1.133,0.483,8.273,6.554,1.448,0.877,0.36,15.434,9.996,1.821,1.578,0.498,21.462,7.546,1.339,1.289,0.606,5.68,2.07,0.368,0.354,0.149,14.94,5.493,1.085,1.001,0.524,9.571,7.314,2.024,1.509,0.396,6.052,3.837,1.187,0.609,0.261,12.774,6.611,1.754,1.435,0.302,2.746,2.414,0.833,0.496,0.113,18.193,12.764,3.009,2.046,0.521,20.698,11.45,2.865,1.796,0.451,18.288,12.665,2.75,1.808,0.624
1761327505,2025-10-24,neutral,12.006,6.982,1.397,0.861,0.484,10.938,5.988,1.531,1.074,0.475,11.244,7.062,1.544,0.847,0.362,19.294,10.118,2.152,1.549,0.493,29.518,8.252,1.619,1.324,0.568,8.018,2.219,0.413,0.342,0.159,21.435,6.355,1.201,1.016,0.511,11.931,7.291,2.113,1.493,0.4,7.55,3.69,1.397,0.623,0.241,14.731,6.669,2.199,1.499,0.277,3.38,2.557,0.876,0.48,0.113,23.818,13.46,3.143,1.985,0.518,25.939,11.726,3.1,1.837,0.41,23.738,13.489,3.141,1.787,0.6
1761327505,2025-10-24,neutral,15.045,7.352,1.603,0.839,0.461,13.012,5.794,1.718,1.022,0.448,14.559,7.46,1.676,0.838,0.352,23.556,10.165,2.548,1.525,0.466,37.034,8.895,2.054,1.361,0.52,10.169,2.321,0.504,0.334,0.161,29.277,7.266,1.386,1.006,0.479,15.264,7.238,2.273,1.447,0.4,9.172,3.567,1.583,0.625,0.215,16.281,6.723,2.735,1.549,0.263,4.099,2.72,0.938,0.451,0.111,30.034,14.067,3.285,1.894,0.513,31.122,11.948,3.345,1.859,0.371,29.491,14.306,3.582,1.768,0.555
1761327505,2025-10-24,neutral,17.381,7.694,1.795,0.839,0.422,14.664,5.534,1.852,0.977,0.403,17.207,7.663,1.803,0.848,0.332,26.899,10.067,2.861,1.495,0.418,41.872,9.26,2.552,1.362,0.462,11.627,2.336,0.626,0.326,0.153,36.064,7.955,1.597,0.971,0.429,18.398,7.168,2.44,1.369,0.391,10.363,3.482,1.651,0.609,0.19,17.053,6.81,3.16,1.553,0.262,4.703,2.858,1.017,0.413,0.105,34.789,14.457,3.387,1.798,0.502,34.48,12.103,3.475,1.859,0.34,33.882,14.916,3.907,1.744,0.495
1761327505,2025-10-24,neutral,18.966,7.717,1.941,0.86,0.378,16.109,5.138,1.928,0.943,0.349,18.922,7.481,1.935,0.877,0.308,29.3,9.606,3.06,1.46,0.363,43.27,9.069,3.035,1.313,0.401,12.028,2.218,0.762,0.318,0.136,39.752,8.049,1.831,0.923,0.37,21.032,6.972,2.624,1.279,0.373,11.08,3.386,1.601,0.578,0.172,17.489,6.787,3.366,1.507,0.279,5.23,2.87,1.118,0.38,0.095,37.571,14.221,3.522,1.737,0.49,36.143,11.904,3.496,1.859,0.322,36.843,14.824,4.093,1.733,0.435
1761327505,2025-10-24,neutral,19.601,7.185,2.009,0.889,0.34,17.005,4.56,1.939,0.916,0.297,19.413,6.809,2.053,0.911,0.288,30.337,8.637,3.142,1.417,0.316,41.175,8.192,3.385,1.215,0.342,11.487,1.956,0.878,0.309,0.116,39.318,7.407,2.059,0.875,0.313,22.733,6.55,2.789,1.191,0.353,11.229,3.204,1.464,0.536,0.167,17.647,6.494,3.293,1.414,0.31,5.558,2.685,1.211,0.359,0.085,37.934,13.062,3.695,1.715,0.478,36.208,11.117,3.403,1.862,0.325,38.107,13.704,4.111,1.734,0.393
1761327505,2025-10-24,neutral,19.64,6.13,1.961,0.906,0.323,17.654,3.872,1.874,0.886,0.261,19.051,5.759,2.099,0.934,0.28,30.537,7.3,3.093,1.357,0.292,36.73,6.864,3.512,1.086,0.301,10.229,1.622,0.941,0.297,0.099,35.448,6.267,2.227,0.83,0.274,23.642,5.955,2.87,1.115,0.344,11.049,2.924,1.281,0.492,0.176,17.758,5.932,2.953,1.278,0.356,5.818,2.318,1.251,0.351,0.082,36.711,11.127,3.815,1.708,0.478,35.421,9.789,3.177,1.851,0.353,38.238,11.675,3.92,1.73,0.386
